"","ogrid_cde","n_wells_FALSE","n_wells_TRUE","plug_cost_FALSE","plug_cost_TRUE","sum_individual_bonds_FALSE","sum_individual_bonds_TRUE","active_bond","temp_abandon_bond","bond","hypothetical_perfoot_bond","total_plugcost","uses_active_blanket","uses_tempabandon_blanket","n_temp_abandon_group","active_bond_group","active_triple","temp_abandon_bond_double","bond_2","plug_cost_lowprod"
"1","10155",41,3,3947139.87665439,301080,1682856.64610906,125180,75000,150000,200180,1808036.64610906,4248219.87665439,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,350180,822277.587665439
"2","10459",0,1,0,13920,0,27320,0,150000,27320,27320,13920,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,27320,13920
"3","10605",20,0,610692,0,601782,0,75000,0,75000,601782,610692,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,17736
"4","1092",65,4,7893300,551688,2940550,191948,125000,150000,275000,3132498,8444988,TRUE,TRUE,"between 1 and 5","between 51 and 100",375000,3e+05,566948,791724
"5","11095",8,1,1017949.58766544,126420,369658.264610906,46070,50000,150000,96070,415728.264610906,1144369.58766544,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,196070,567876
"6","113315",27,4,2850820.76299632,411792,1150136.79383272,168632,75000,150000,225000,1318768.79383272,3262612.76299632,TRUE,TRUE,"between 1 and 5","between 11 and 50",225000,3e+05,393632,411792
"7","11492",0,4,0,247464,0,141244,0,150000,141244,141244,247464,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,141244,247464
"8","11859",0,1,0,81804,0,38634,0,150000,38634,38634,81804,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,38634,81804
"9","119305",27,0,2097135.87665439,0,1024522.64610906,0,75000,0,75000,1024522.64610906,2097135.87665439,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,1496654.28898895
"10","12254",5,1,676944,146628,237824,49438,50000,150000,99438,287262,823572,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,199438,279024
"11","12361",33,7,5490256.76299632,1067917.58766544,1740042.79383272,352986.264610906,75000,3e+05,375000,2093029.05844363,6558174.35066175,TRUE,TRUE,"between 6 and 10","between 11 and 50",225000,6e+05,577986.264610906,1228801.58766544
"12","12444",24,2,1092672,91344,782112,65224,75000,150000,140224,847336,1184016,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,290224,91344
"13","124768",3,1,107352,8784,92892,26464,50000,150000,76464,119356,116136,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,119356,116136
"14","12576",1,3,83665.5876654387,98964,38944.2646109064,91494,50000,150000,130438.264610906,130438.264610906,182629.587665439,FALSE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,130438.264610906,182629.587665439
"15","12627",8,3,376320,398244,262720,141374,50000,150000,191374,404094,774564,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,291374,624660
"16","12683",2,1,56844,81000,59474,38500,50000,150000,88500,97974,137844,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,97974,81000
"17","127535",0,1,0,93780,0,40630,0,150000,40630,40630,93780,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,40630,93780
